smiles,TADF-likeness
O=C(c1cn(-c2ncccn2)c2ccccc12)N1CCN(c2ccc(OCF)cc2)CC1,59.40184402
O=C(/C=C/c1cccc2ccccc12)Nc1cccc(CN2CCOCC2)c1,59.20170212
Cc1ccc(SCCC(=O)Nc2c3c(nn2-c2ccccc2)CCC3)cc1,55.11220551
CC(C)C(=O)Nc1cc(-c2ccncc2)nn1-c1ccccc1,59.34247208
O=C(c1ccc2ccccc2c1)N1CCN(CCOc2ccccc2)CC1,59.59862518
O=C(OC(=O)c1ccc(-c2ccccc2)cc1)c1ccc(-c2ccccc2)cc1,58.06915665
CN(C)S(=O)(=O)c1ccc(OCCNC(=O)C2CN(S(=O)(=O)c3ccccc3)c3cc(C(C)(C)C)ccc3O2)cc1,57.65910721
Cc1cc(C)c(NC(=O)CNC(=O)CSc2ccc3ccccc3c2)c(C)c1,55.84043884
CC[C@@H](CO)C1c2ccccc2N(C)c2ccccc21,55.4391861
COc1cc(OC)c(NC(=O)C(c2ccccc2)c2nnn(C/C=C(\C)CCC=C(C)C)n2)c(OC)c1,56.16867828
CCCCN(C)C(=O)CCCCCCCNC(=O)Cc1c(C)n(Cc2ccccc2)c2ccc(OC(C)=O)cc12,56.91300964
Nc1nc(-c2ccccc2)nn1-c1ccccc1,57.67190933
Cc1ccc(C#Cc2ccc([C@@H]3CC[C@@H]4CC(C)CC[C@@H]4C3)cc2F)cc1,59.86659241
Cc1ccc2nc(Nc3ccccc3C)sc2c1,59.48229599
COC(=O)c1ccc2nc(-c3cn(Cc4ccc(C#N)cc4)c4ccccc34)c(=O)n(C(C)CN)c2c1,56.15473938
O=S1(=O)CCC(N(Cc2ccco2)Cc2cccc3ccccc23)C1,59.64401627
Cc1cccc(Nc2ccc(C(=O)NCc3ccc4c(c3)OCO4)cn2)c1,57.7947197
COc1ccc(C(C)(C)c2ccc(C(=O)Oc3ccc(C(C)(CCO)c4ccc(OC(C)=O)cc4)cc3)cc2)cc1,57.32151794
Cn1cnc2ccc(C(=O)n3cnc4ccccc43)cc21,59.50117493
CC(=O)N(CO)c1c2ccccc2cc2ccccc12,59.41236877
Cc1c(C[C@H]2C(=O)c3ccccc3O[C@@H]2c2ccccc2)c(=O)nc2sccn12,57.26282501
